Timestamp,Accel_X,Accel_Y,Accel_Z,Gryo_X,Gryo_Y,Gryo_Z,Linear_Accel_X,Linear_Accel_Y,Linear_Accel_Z,Current_mA,Voltage_V,Power_mW
2024-08-18 12:19:38.081,-2.71875,4.17578125,11.0703125,-0.484375,-1.185546875,0.390625,-1.234375,-1.98046875,-3.51171875,517.5,15.7025,8130
2024-08-18 12:19:38.100,2.52734375,0.15234375,2.375,-0.484375,-1.185546875,0.390625,-3.8984375,3.95703125,1.421875,852.5,15.62625,13330
2024-08-18 12:19:38.119,2.52734375,0.15234375,2.375,-0.484375,-1.185546875,0.390625,-3.8984375,3.95703125,1.421875,973.75,15.62625,15220
2024-08-18 12:19:38.132,3.8671875,-0.91796875,18.27734375,0.943359375,0.763671875,-0.123046875,-3.8984375,3.95703125,1.421875,776.25,15.6575,12150
2024-08-18 12:19:38.150,3.8671875,-0.91796875,18.27734375,0.943359375,0.763671875,-0.123046875,2.65625,-1.22265625,8.640625,578.75,15.686250000000001,9090
2024-08-18 12:19:38.168,-1.6484375,1.68359375,3.7890625,0.943359375,0.763671875,-0.123046875,2.65625,-1.22265625,8.640625,1122.5,15.59625,17500
2024-08-18 12:19:38.183,-1.6484375,1.68359375,3.7890625,1.2109375,0.3046875,0.626953125,2.65625,-1.22265625,8.640625,878.75,15.62625,13730
2024-08-18 12:19:38.199,2.48828125,0.53515625,13.44921875,1.2109375,0.3046875,0.626953125,-2.984375,1.26953125,-5.82421875,768.75,15.65875,12030
2024-08-18 12:19:38.217,2.48828125,0.53515625,13.44921875,1.2109375,0.3046875,0.626953125,-2.984375,1.26953125,-5.82421875,883.75,15.6225,13810
2024-08-18 12:19:38.230,2.48828125,2.91015625,5.86328125,-0.33984375,0.361328125,0.146484375,-2.984375,1.26953125,-5.82421875,973.75,15.61375,15210
2024-08-18 12:19:38.249,2.48828125,2.91015625,5.86328125,-0.33984375,0.361328125,0.146484375,1.16796875,2.46484375,-3.75,781.25,15.65375,12220
2024-08-18 12:19:38.265,0.8046875,2.48828125,13.33203125,-0.33984375,0.361328125,0.146484375,1.16796875,2.46484375,-3.75,736.25,15.66,11460
2024-08-18 12:19:38.281,0.8046875,2.48828125,13.33203125,-0.3515625,-0.130859375,-0.072265625,1.16796875,2.46484375,-3.75,703.75,15.66125,11020
2024-08-18 12:19:38.299,0.8828125,0.19140625,4.09765625,-0.3515625,-0.130859375,-0.072265625,-0.4765625,-0.25390625,-5.50390625,1135.0,15.592500000000001,17690
2024-08-18 12:19:38.317,0.8828125,0.19140625,4.09765625,-0.3515625,-0.130859375,-0.072265625,-0.4765625,-0.25390625,-5.50390625,1078.75,15.59375,16820
2024-08-18 12:19:38.330,5.9765625,-0.65234375,12.98828125,0.388671875,0.306640625,0.21875,-0.4765625,-0.25390625,-5.50390625,822.5,15.641250000000001,12860
2024-08-18 12:19:38.349,5.9765625,-0.65234375,12.98828125,0.388671875,0.306640625,0.21875,4.765625,-1.22265625,3.375,953.75,15.61625,14900
2024-08-18 12:19:38.367,-1.30078125,3.75390625,9.73046875,0.388671875,0.306640625,0.21875,4.765625,-1.22265625,3.375,820.0,15.6425,12830
2024-08-18 12:19:38.380,2.0703125,0.57421875,11.03515625,0.251953125,0.474609375,-0.03125,4.765625,-1.22265625,3.375,778.75,15.64875,12380
2024-08-18 12:19:38.401,2.0703125,0.57421875,11.03515625,0.251953125,0.474609375,-0.03125,0.8671875,0.05078125,1.421875,705.0,15.665000000000001,11050
2024-08-18 12:19:38.419,0.078125,0.4609375,6.890625,0.251953125,0.474609375,-0.03125,0.8671875,0.05078125,1.421875,746.25,15.665000000000001,11690
2024-08-18 12:19:38.436,0.078125,0.4609375,6.890625,-0.365234375,0.220703125,-0.130859375,0.8671875,0.05078125,1.421875,761.25,15.6575,11920
2024-08-18 12:19:38.451,0.49609375,-2.22265625,10.609375,-0.365234375,0.220703125,-0.130859375,-1.0625,-0.0625,-2.72265625,936.25,15.62625,14630
2024-08-18 12:19:38.470,0.49609375,-2.22265625,10.609375,-0.365234375,0.220703125,-0.130859375,-1.0625,-0.0625,-2.72265625,816.25,15.64625,12760
2024-08-18 12:19:38.485,1.07421875,-0.19140625,12.21875,0.23828125,-0.154296875,-0.029296875,-0.15234375,-0.89453125,2.6328125,828.75,15.6425,12970
2024-08-18 12:19:38.505,1.07421875,-0.19140625,12.21875,0.23828125,-0.154296875,-0.029296875,-0.15234375,-0.89453125,2.6328125,780.0,15.64875,12210
2024-08-18 12:19:38.521,0.61328125,0.3828125,7.12890625,0.23828125,-0.154296875,-0.029296875,-0.15234375,-0.89453125,2.6328125,757.5,15.65375,11850
2024-08-18 12:19:38.535,0.61328125,0.3828125,7.12890625,-0.447265625,-0.0546875,-0.26171875,-0.15234375,-0.89453125,2.6328125,786.25,15.64375,12310
2024-08-18 12:19:38.552,3.2578125,2.94921875,8.81640625,-0.447265625,-0.0546875,-0.26171875,1.9609375,2.19921875,-0.765625,746.25,15.65375,11690
2024-08-18 12:19:38.569,3.2578125,2.94921875,8.81640625,-0.447265625,-0.0546875,-0.26171875,1.9609375,2.19921875,-0.765625,703.75,15.665000000000001,11020
